!Generated by gio
@None, GRID, 6
12, -999.25, , 3, 1
12, 20, 0, 19, 0, 11
0.0, 0.0, 0.0
@
       0.000       0.150       0.083       0.124       0.253       0.200
       0.000      -0.007       0.178       0.074      -0.156      -0.119
      -0.247      -0.096      -0.155      -0.117       0.050       0.124
      -0.028      -0.063       0.071       0.026      -0.067       0.130
      -0.444      -0.308      -0.363      -0.338      -0.141       0.066
      -0.025      -0.123      -0.104      -0.069       0.009       0.346
      -0.432      -0.328      -0.403      -0.407      -0.232      -0.013
      -0.076      -0.211      -0.243      -0.102       0.090       0.398
      -0.213      -0.148      -0.271      -0.317      -0.208      -0.101
      -0.177      -0.284      -0.239      -0.011       0.165       0.272
       0.051       0.080      -0.102      -0.189      -0.134      -0.140
      -0.232      -0.268      -0.096       0.153       0.214       0.088
       0.259       0.260       0.024      -0.096      -0.081      -0.176
      -0.264      -0.211       0.100       0.347       0.279      -0.065
       0.309       0.305       0.023      -0.124      -0.138      -0.276
      -0.311      -0.148       0.280       0.528       0.399      -0.088
       0.208       0.223      -0.077      -0.234      -0.241      -0.327
      -0.262      -0.034       0.359       0.578       0.492       0.042
       0.072       0.111      -0.174      -0.318      -0.288      -0.274
      -0.119       0.099       0.334       0.509       0.527       0.231
       0.000       0.051      -0.205      -0.321      -0.253      -0.185
       0.000       0.177       0.282       0.445       0.550       0.375
      -0.027       0.011      -0.219      -0.294      -0.194      -0.096
       0.100       0.234       0.224       0.388       0.566       0.487
      -0.042      -0.091      -0.301      -0.308      -0.175      -0.067
       0.143       0.249       0.132       0.304       0.537       0.535
      -0.139      -0.318      -0.508      -0.431      -0.277      -0.197
       0.010       0.126       0.015       0.230       0.478       0.466
      -0.303      -0.584      -0.752      -0.607      -0.448      -0.422
      -0.247      -0.108      -0.123       0.158       0.392       0.299
      -0.410      -0.736      -0.881      -0.701      -0.542      -0.567
      -0.447      -0.320      -0.271       0.047       0.270       0.106
      -0.469      -0.794      -0.886      -0.694      -0.545      -0.587
      -0.517      -0.421      -0.337      -0.026       0.165      -0.058
      -0.505      -0.752      -0.723      -0.581      -0.476      -0.445
      -0.396      -0.338      -0.228       0.008       0.131      -0.097
      -0.407      -0.555      -0.446      -0.411      -0.371      -0.228
      -0.180      -0.167      -0.060       0.056       0.124      -0.003
      -0.192      -0.296      -0.212      -0.276      -0.280      -0.073
      -0.027      -0.048       0.038       0.063       0.116       0.138
